-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,31,-1
-1,-1,-1,-1,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,37,38,-1
-1,-1,-1,3,3,3,3,17,3,3,3,3,-1,-1,-1,-1,3,3,3,3
3,3,3,17,3,3,3,17,17,3,3,3,3,-1,-1,3,3,3,3,3
3,3,17,17,3,3,3,17,10,17,3,3,3,3,3,3,3,3,3,3
3,3,17,3,3,3,3,3,10,17,3,3,17,3,3,3,0,0,3,3
3,3,17,3,3,3,3,3,10,10,3,3,3,3,3,3,17,17,10,10
