8,8,8,8,40,32,32,32,32,32,32,34,8,8,8,8,8,8,35,35
8,8,8,8,8,8,8,40,32,32,32,32,32,32,32,32,34,8,36,35
8,8,8,8,8,40,32,32,32,34,8,8,8,8,8,8,8,8,8,35
8,8,8,8,8,8,32,32,32,32,32,32,32,32,32,32,34,8,8,35
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,40,32,34,8,35
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,35
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,36
8,8,8,8,8,40,32,32,32,34,8,8,8,8,8,8,8,8,8,8
32,32,32,32,32,32,32,8,8,8,8,8,8,8,8,8,8,8,8,8
32,32,32,32,32,32,32,32,32,8,8,8,8,8,8,8,8,8,8,32
32,32,32,32,8,8,8,8,8,32,32,32,32,32,8,8,8,8,28,29
32,32,8,8,8,8,8,8,8,8,8,8,8,8,32,32,19,19,19,8
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
