-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,30,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,37,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,3,1,3,3,3,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,10,14,17,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,17,17,17,17,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,17,17,17,17,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,17,17,17,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,17,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,17,17,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,17,-1,-1,-1,17,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,17,-1,-1,-1,17,17,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,17,17,-1,-1,-1,17,10,17,-1,-1,3,3,-1,0,-1,-1,-1,-1
-1,-1,17,-1,-1,-1,-1,-1,10,17,-1,-1,17,17,-1,-1,0,0,0,0
-1,-1,17,-1,-1,-1,-1,-1,10,10,-1,-1,17,17,-1,-1,17,17,10,10
